program,jupyter,python_experience,pandas_skill,os,dark_mode,languages,continents,dob,waketime,bedtime,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0,num_languages,age
phd,yes,2-4 years,3,Windows,True,"english, spanish, ","europe, north america",1999-04-20,1900-01-01 06:10:00,11:30:00 pm,summer,coffee,pet cat,surf's up,"action, comedy, horror, sci-fi, mystery/thriller","music production, volleyball, videogames",,3,26.0
bachelor's (cs),yes,2-4 years,3,MacOS,True,"english, mandarin","africa, asia, europe, north america, south america",2004-01-14,1900-01-01 08:30:00,12:30:00 am,winter,no caffeine for me!,pet dog,interstellar,"action, comedy, sci-fi, documentary","running, biking",,2,21.0
master's (ds) [extension school],yes,1-2 years,3,Windows,True,"spanish, english, french","asia, europe, north america, south america",1991-11-19,1900-01-01 08:30:00,12:30:00 am,winter,coffee,pet dog,v for vendetta,"action, comedy, sci-fi, fantasy","watching videogame streams, learning a language, watching anime",,3,33.0
master's (ds),yes,2-4 years,3,MacOS,True,"english, chinese","africa, asia, europe, north america",2003-04-06,1900-01-01 07:30:00,12:30:00 am,fall,coffee,pet dog,the imitation game,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","playing bass, video games, basketball",,2,22.0
master's (ds) [extension school],yes,4+ years,5,Windows,True,"python,sql, vbs","asia, australia, north america",1991-04-08,,12:00:00 am,spring,coffee,pet cat,"godfather i, ii, iii","comedy, sci-fi, fantasy, mystery/thriller","camping, fishing, cooking",,2,34.0
master's (mdes) ,yes,Less than 1 year,2,MacOS,True,"english, mandarin","asia, europe, north america",2000-04-07,1900-01-01 07:30:00,12:00:00 pm,spring,coffee,pet cat,perfect blue,drama,"playing volleyball, painting, reading books",,2,25.0
bachelor's (cs),yes,1-2 years,1,MacOS,True,english,"europe, north america",2004-03-03,1900-01-01 08:00:00,12:00:00 am,winter,no caffeine for me!,pet dog,tenet,"action, comedy, drama, sci-fi, fantasy, mystery/thriller","reading, eating, writing",,1,21.0
bachelor's (cs),yes,2-4 years,3,MacOS,False,"english, chinese","asia, europe, north america",2004-02-09,1900-01-01 09:50:00,1:45:00 am,fall,tea,pet dog,,,,,2,21.0
master's (mde),no,Less than 1 year,1,MacOS,True,"spanish, english","europe, north america, south america",1994-12-06,1900-01-01 06:00:00,11:00:00 am,summer,coffee,pet dog,soul,"drama, sci-fi, romance, documentary","going to the gym, reading, walking ",,2,30.0
bachelor's (bme),yes,Less than 1 year,2,MacOS,False,"english, spanish","europe, north america, south america",2005-07-01,1900-01-01 08:00:00,12:30:00 am,fall,coffee,pet dog,se7en,"action, comedy, drama, sci-fi","running, snorkeling, reading",,2,20.0
bachelor's (cs),yes,2-4 years,2,Windows,True,"english, hindi","asia, north america",2001-06-01,1900-01-01 06:00:00,10:00:00 pm,winter,tea,pet rock,tv show - suits,"comedy, documentary","learning, learning and implementing",,2,24.0
bachelor's (cs),yes,1-2 years,3,MacOS,True,"english, spanish","europe, north america, south america",2003-09-30,1900-01-01 10:00:00,2:00:00 am,spring,coffee,pet dog,valerian and the city of a thousand planets,"drama, horror, mystery/thriller, romance","musical theatre, singing, journaling ",,2,21.0
bachelor's (statistics),yes,2-4 years,2,MacOS,True,english,"north america, south america",2006-04-03,1900-01-01 08:30:00,1:00:00 am,spring,no caffeine for me!,pet dog,,,,,1,19.0
"bachelor's (not cs, am, or statistics)",yes,2-4 years,3,MacOS,False,"english, spanish, marathi","asia, europe, north america",,,,spring,tea,pet rock,,,,,3,
master's (ds) [extension school],yes,4+ years,3,Windows,True,"english, arabic, malayalam","africa, asia, europe, north america",1999-04-14,1900-01-01 10:00:00,2:00:00 am,fall,coffee,pet rock,interstellar,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, documentary","guitar, video games, weightlifting",,3,26.0
bachelor's (cs),yes,2-4 years,3,MacOS,True,"english, spanish","europe, north america",2005-05-28,1900-01-01 10:00:00,2:00:00 am,fall,energy drinks,pet cat,yesterday,"action, comedy, sci-fi, fantasy, mystery/thriller",listening to music,,2,20.0
phd,yes,1-2 years,3,Windows,True,english,"europe, north america, south america",,1900-01-01 08:30:00,12:30:00 am,summer,coffee,pet rock,,"comedy, drama, romance, documentary",,,1,
bachelor's (cs),yes,2-4 years,3,Windows,True,"english, latin","asia, europe, north america, south america",,1900-01-01 09:00:00,12:00:00 am,spring,no caffeine for me!,pet dog,the lion king,"action, sci-fi, fantasy, documentary",,,2,
bachelor's (cs),yes,4+ years,4,MacOS,True,"bulgarian, english, german","asia, europe, north america",2004-05-03,1900-01-01 09:30:00,2:00:00 am,spring,no caffeine for me!,pet cat,hunger games,"action, sci-fi, mystery/thriller","ski, volleyball, hiking",,3,21.0
master's (ds),yes,2-4 years,3,MacOS,True,"chinese, english","asia, australia, north america",2003-12-17,1900-01-01 09:00:00,12:00:00 am,winter,coffee,pet rock,midsommar,"horror, sci-fi, fantasy, mystery/thriller, documentary","nightdreaming, daydreaming, going on a jet2holiday(cuz nothing beats it)",,2,21.0
bachelor's (am),no,1-2 years,1,MacOS,True,idk,"asia, australia, europe, north america",2005-02-23,1900-01-01 09:20:00,12:00:00 am,summer,no caffeine for me!,pet dog,point break,"action, comedy, sci-fi, fantasy, mystery/thriller","surfing, hydrofoiling, golf",,1,20.0
bachelor's (am),yes,2-4 years,3,Windows,True,"english, italian, french, spanish","africa, asia, europe, north america",2004-11-17,1900-01-01 08:00:00,11:00:00 pm,spring,coffee,pet cat,fury,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","chess, photography, talking to people",,4,20.0
master's (ds),yes,Less than 1 year,1,Windows,True,"english, mandarin ","africa, asia, australia, europe, north america",2002-07-09,1900-01-01 07:30:00,12:30:00 am,spring,coffee,pet dog,green snake ,"action, fantasy","reading, video games, writing ",,2,23.0
master's (ds),yes,2-4 years,4,Windows,False,"english, chinese","asia, north america",2002-12-10,1900-01-01 09:00:00,1:00:00 am,fall,no caffeine for me!,pet cat,,"action, romance","music, photography, traveling",,2,22.0
master's (ds),yes,2-4 years,3,MacOS,False,"english, mandarin","asia, north america",2002-09-13,1900-01-01 09:30:00,1:30:00 am,summer,coffee,pet dog,the shawshank redemption,"action, comedy","dancing, gaming, playing texas hold'em",,2,22.0
master of finance mit,yes,Less than 1 year,3,MacOS,True,english,"africa, asia, australia, europe, north america, south america",1996-07-18,1900-01-01 07:30:00,1:00:00 am,summer,coffee,pet dog,interstellar,mystery/thriller,"hiking, travelling, movies",,1,29.0
phd,yes,Less than 1 year,2,MacOS,False,"english, mandarin, spanish","asia, europe, north america",2001-07-30,1900-01-01 09:00:00,1:00:00 am,fall,tea,pet rock,,"comedy, documentary",baking,,3,24.0
ms in biomedical informatics,yes,Less than 1 year,2,MacOS,False,"mandarin, english","asia, europe, north america",2002-11-23,1900-01-01 08:30:00,12:00:00 am,fall,tea,pet cat,perfect days ,"drama, sci-fi, mystery/thriller, romance","taking photos, attending concert, watching movies",,2,22.0
master's (ds) [extension school],yes,4+ years,4,Linux,True,"english, tagalog, spanish","asia, europe, north america, south america",1994-08-22,1900-01-01 07:30:00,12:00:00 am,fall,coffee,pet rock,back to the future,"action, comedy, horror, sci-fi, documentary","baking, learning languages",,3,31.0
master's (ds),yes,1-2 years,2,MacOS,False,mandarin,"asia, north america",2003-04-21,1900-01-01 09:30:00,1:00:00 am,fall,coffee,pet cat,infernal affairs,"action, comedy, fantasy, mystery/thriller","playing table tennis, walking, reading",,1,22.0
ms/mba,yes,1-2 years,2,MacOS,False,"english, chinese","africa, asia, australia, europe, north america, south america",2002-05-28,1900-01-01 07:30:00,12:30:00 am,summer,coffee,pet cat,yi yi,"drama, sci-fi","boardgame, singing, swinging",,2,23.0
bachelor's (am),yes,2-4 years,1,Windows,True,"english, akan, japanese, spanish, french","africa, north america",2004-11-20,1900-01-01 08:30:00,12:00:00 am,spring,no caffeine for me!,pet rock,jigsaw,"horror, sci-fi, romance","video games, running",,5,20.0
mup,yes,Less than 1 year,2,Windows,True,"spanish, french, english","africa, asia, europe, north america, south america",2000-12-09,1900-01-01 09:00:00,11:00:00 pm,spring,coffee,pet dog,moulin rouge,"comedy, drama, romance","photography, reading, traveling",,3,24.0
bachelor's (chem/phys + hdrb),yes,Less than 1 year,3,MacOS,True,english,"africa, asia, europe, north america, south america",2005-05-30,1900-01-01 08:15:00,12:30:00 am,summer,coffee,pet dog,harry potter and the prisoner of azkaban,"action, comedy, horror, sci-fi, fantasy, mystery/thriller","cycling, lifting, philosophy",,1,20.0
bachelor's (cs),yes,1-2 years,2,MacOS,False,english,"africa, asia, europe, north america",2003-06-14,1900-01-01 09:00:00,12:00:00 am,summer,no caffeine for me!,pet cat,creed ii,"action, comedy, romance","reading, crochet, knitting",,1,22.0
bachelor's (econ),yes,Less than 1 year,2,MacOS,True,"english, chinese","asia, europe, north america, south america",2005-11-28,1900-01-01 09:00:00,12:28:00 am,summer,tea,pet dog,ocean's 11,"action, comedy, drama","playing saxophone, watching sports, playing video games",,2,19.0
master's (ds) [extension school],yes,4+ years,5,MacOS,True,english,"asia, europe, north america, south america",1988-12-24,1900-01-01 05:00:00,9:00:00 pm,fall,coffee,pet rock,inception,"comedy, drama, mystery/thriller, romance, documentary","running, strength training, reading",,1,36.0
master's (ds),yes,1-2 years,4,MacOS,False,"english, mandarin","antarctica, asia, europe, north america",2003-08-22,1900-01-01 06:00:00,11:20:00 pm,summer,coffee,pet dog,titanic,romance,"piano, photography, food",,2,22.0
master's (ds) [extension school],yes,4+ years,4,MacOS,False,english,"asia, europe, north america",1978-05-18,1900-01-01 05:00:00,9:30:00 pm,spring,coffee,pet rock,bond,"action, comedy, drama, mystery/thriller, documentary","watching movies, walking ,driving",,1,47.0
bachelor's (cs),yes,1-2 years,2,Windows,True,"chinese, english","asia, north america",2006-02-08,1900-01-01 10:00:00,1:30:00 am,fall,no caffeine for me!,pet dog,interstellar,"action, sci-fi, fantasy, mystery/thriller","running, basketball, reading, writing",,2,19.0
bachelor's (am),yes,Less than 1 year,1,MacOS,False,"spanish, quechua, portuguese","asia, europe, north america, south america",2005-06-13,1900-01-01 09:00:00,12:00:00 am,winter,coffee,pet cat,superman,"horror, fantasy, romance, documentary","baking, reading, boxing",,3,20.0
non-degree extension student for graduate credit,yes,Less than 1 year,1,"Use WSL at work, macOS at home so I suppose all three?",False,"english, malayalam","asia, north america",1998-10-10,1900-01-01 06:00:00,10:00:00 pm,spring,energy drinks,pet cat,shrek,"action, comedy, sci-fi, fantasy, mystery/thriller","working out, kamen rider",,2,26.0
bachelor's (statistics),yes,4+ years,4,MacOS,True,"english, spanish, bangla","asia, europe, north america",2004-05-18,1900-01-01 06:00:00,10:30:00 pm,fall,coffee,pet cat,3 idiots,"sci-fi, fantasy, mystery/thriller","reading, crocheting",,3,21.0
master's (ds),yes,Less than 1 year,1,MacOS,False,"mandarin, english","asia, europe, north america",2003-03-09,1900-01-01 09:00:00,1:00:00 am,spring,coffee,pet cat,five feet apart,"comedy, drama, fantasy, romance","playing drums, swimming, traveling",,2,22.0
ms/mba,yes,2-4 years,2,MacOS,True,"english, chinese",asia,2003-01-23,,,spring,no caffeine for me!,,,"drama, horror, sci-fi, mystery/thriller",,,2,22.0
master's (ds),yes,2-4 years,4,Windows,True,"chinese, english, spanish","asia, europe, north america",2003-02-22,1900-01-01 08:00:00,11:45:00 pm,spring,coffee,pet dog,intersteller,"action, sci-fi","cooking, playing billiards, listening to edm",,3,22.0
bachelor's (cs),yes,2-4 years,2,MacOS,False,"english, czech, tamil","africa, asia, australia, europe, north america, south america",2006-05-09,1900-01-01 09:00:00,2:00:00 am,fall,coffee,pet dog,the dark knight,"action, comedy, sci-fi, fantasy, mystery/thriller","playing carnatic (indian classical) flute, ping pong, badminton",,3,19.0
bachelor's (statistics),yes,1-2 years,2,MacOS,False,"english, spanish","europe, north america",2004-02-02,1900-01-01 05:00:00,10:30:00 pm,summer,energy drinks,pet dog,secretariat,"comedy, drama, romance, documentary","rowing, coding, lifting",,2,21.0
bachelor's (cs),no,4+ years,1,MacOS,True,"french, english, arabic","africa, europe, north america",2002-08-06,1900-01-01 05:00:00,12:00:00 am,summer,no caffeine for me!,pet dog,,"sci-fi, documentary","hiking, extreme sport, video games",,3,23.0
bachelor's (cs),no,1-2 years,2,MacOS,False,"hindi, english","asia, europe, north america",2005-09-25,1900-01-01 08:00:00,12:00:00 am,fall,coffee,pet rock,crazy stupid love,"action, comedy, romance","guitar, golf, writing ",,2,19.0
bachelor's (statistics),yes,2-4 years,4,MacOS,True,"english, korean, mandarin, latin","africa, asia, europe, north america, south america",2004-05-06,1900-01-01 09:00:00,11:00:00 pm,summer,coffee,pet dog,the dark knight,"action, comedy, drama, sci-fi, fantasy, mystery/thriller","chess, fencing, cooking",,4,21.0
bachelor's (am),yes,1-2 years,2,Windows,True,"english, ndebele","africa, south america",2002-12-13,1900-01-01 08:00:00,12:00:00 am,spring,tea,pet cat,the roses,"comedy, drama, mystery/thriller","crochet, watching movies",,2,22.0
master's (ds) [extension school],yes,1-2 years,3,Linux,True,english,"europe, north america, south america",1992-03-18,1900-01-01 06:30:00,10:00:00 pm,fall,coffee,pet dog,the lorax,documentary,"cycling, running, camping",,1,33.0
master's (ds) [extension school],yes,4+ years,3,MacOS,True,"igbo, english, hausa, yoruba","africa, europe, north america",1977-03-25,1900-01-01 05:30:00,11:00:00 pm,summer,coffee,pet dog,lioness,"action, horror, sci-fi, mystery/thriller","soccer, ping pong, swimming",,4,48.0
master's (ds) [extension school],no,2-4 years,3,Linux,True,"spanish, english","asia, north america, south america",1983-07-21,1900-01-01 08:00:00,12:00:00 am,winter,coffee,pet dog,matrix,"action, sci-fi, fantasy, mystery/thriller","playing piano or playing drums, video games (pc)",,2,42.0
bachelor's (cs),no,Less than 1 year,1,MacOS,True,"spanish, english, basque","asia, europe, north america",2006-04-30,1900-01-01 07:00:00,12:00:00 am,winter,coffee,pet dog,interestellar,"action, comedy, mystery/thriller, documentary","speedcubing, running, movies",,3,19.0
master’s (cbqg),yes,2-4 years,3,MacOS,True,"mandarin, english","asia, europe, north america, south america",2002-03-01,1900-01-01 09:30:00,2:00:00 am,spring,coffee,pet cat,la la land,"drama, horror, sci-fi, fantasy, mystery/thriller, romance","dancing, fitness, skiing",,2,23.0
bachelor's (am),no,1-2 years,2,MacOS,True,english,north america,2005-02-13,1900-01-01 09:00:00,1:00:00 am,summer,no caffeine for me!,pet rock,django unchained,"action, comedy, romance, documentary","scrapbooking, upcycling, listening to music",,1,20.0
bachelor's (statistics),yes,4+ years,4,MacOS,True,"spanish, english","europe, north america, south america",2003-04-01,1900-01-01 10:00:00,1:00:00 am,spring,energy drinks,pet dog,surfs up,"action, comedy, drama, sci-fi, fantasy, romance, documentary","catan, music, sports",,2,22.0
bachelor's (statistics),yes,2-4 years,4,Linux,True,"english, korean","asia, europe, north america",2005-11-20,1900-01-01 09:30:00,11:30:00 am,fall,no caffeine for me!,pet cat,dodgeball,"action, comedy, mystery/thriller","playing sports, watching sports, talking about sports",,2,19.0
bachelor's (am),yes,Less than 1 year,1,Windows,True,"english, chinese","asia, europe, north america",2004-05-10,1900-01-01 09:45:00,3:00:00 am,winter,no caffeine for me!,pet dog,interstellar,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","watching football, playing chess, playing basketball",,2,21.0
bachelor's (am),yes,Less than 1 year,1,MacOS,True,"english, mandarin","asia, north america",2004-04-06,1900-01-01 09:30:00,12:30:00 am,fall,no caffeine for me!,pet dog,la la land,"action, comedy, sci-fi, fantasy, mystery/thriller","poker, running, basketball",,2,21.0
bachelor's (cs),no,1-2 years,1,MacOS,True,"english, spanish","europe, north america",2003-10-22,1900-01-01 09:45:00,1:30:00 am,fall,coffee,pet cat,"paris, texas","action, comedy, drama, sci-fi","photography, playing drums, playing chess",,2,21.0
bachelor's (cs),yes,1-2 years,1,MacOS,False,mandarin,asia,2004-06-22,1900-01-01 10:00:00,1:00:00 am,summer,no caffeine for me!,pet rock,train to busan,romance,"kpop dance, watching kdramas, walking",,1,21.0
bachelor's (cs),yes,1-2 years,3,MacOS,True,english,"asia, europe, north america",2006-09-21,1900-01-01 08:00:00,2:00:00 am,fall,coffee,pet cat,whiplash,"action, comedy, sci-fi, mystery/thriller, romance, documentary","playing ping pong, memorizing flags, playing cards",,1,18.0
bachelor's(economics),no,Less than 1 year,2,MacOS,True,english,"africa, asia, europe, north america, south america",2005-01-25,1900-01-01 10:00:00,2:00:00 am,fall,tea,pet dog,hunger games,"action, drama, horror, sci-fi, romance","fencing, baking, trying new foods",,1,20.0
bachelor's (am),yes,1-2 years,3,Windows,True,"english, german, mandarin","asia, europe, north america",2006-11-17,1900-01-01 08:30:00,1:00:00 am,fall,coffee,pet cat,little women (2019),"drama, fantasy, mystery/thriller, romance","knitting, journaling, watching tv",,3,18.0
phd,yes,Less than 1 year,1,MacOS,True,english,europe,1988-04-07,1900-01-01 09:00:00,1:00:00 am,summer,no caffeine for me!,pet dog,get out,"comedy, documentary","yoga, strength training, running",,1,37.0
bachelor's (statistics),yes,1-2 years,2,MacOS,True,"english, chinese","asia, europe, north america",2006-05-11,1900-01-01 09:00:00,12:30:00 am,fall,coffee,pet dog,,"action, drama, mystery/thriller, documentary","playing basketball, spending time with friends, hiking",,2,19.0
master's (ds),yes,4+ years,3,MacOS,False,"chinese, english","asia, australia, north america",2002-05-29,1900-01-01 09:30:00,1:30:00 am,winter,coffee,pet dog,let the bullets fly,"action, comedy, sci-fi","snowboarding, playing badminton, making money",,2,23.0
master's (ds) [extension school],yes,Less than 1 year,3,MacOS,False,"english, tamil, hindi","asia, europe, north america, south america",1974-10-19,1900-01-01 07:00:00,12:30:00 am,fall,coffee,pet rock,the shawshank redemption,"action, comedy, drama, sci-fi, mystery/thriller, romance",,,3,50.0
bachelor's (statistics),yes,Less than 1 year,1,MacOS,True,"english, gujarati","europe, north america",2004-09-17,1900-01-01 08:00:00,12:00:00 am,summer,no caffeine for me!,pet dog,pursuit of happiness,"action, comedy, sci-fi, mystery/thriller, documentary","basketball, hiking, gym",,2,20.0
bachelor's (am),yes,1-2 years,3,MacOS,True,"english, mandarin, german, french, spanish","africa, asia, australia, europe, north america, south america",2006-09-09,1900-01-01 07:30:00,1:00:00 am,fall,tea,pet rock,dune,"comedy, sci-fi, documentary","playing violin, playing squash, reading",,5,19.0
master's (ds) [extension school],yes,1-2 years,3,MacOS,True,"english, chinese","asia, europe, north america",2000-08-20,1900-01-01 08:00:00,12:00:00 pm,fall,coffee,pet dog,the dark knight,"action, comedy, drama, romance, documentary","snowboarding, travelling around new places, reading public health papers(yes it's a very nerdy hobby and i love it)",,2,25.0
phd,yes,Less than 1 year,1,Windows,True,"english, vietnamese","asia, australia, europe, north america",2002-03-19,1900-01-01 10:00:00,2:00:00 am,fall,no caffeine for me!,pet dog,interstellar,"action, comedy, sci-fi","cooking, cycling, reading",,2,23.0
bachelor's (statistics),no,Less than 1 year,3,MacOS,True,"armenian, russian, french","africa, asia, europe, north america",2005-10-26,1900-01-01 08:40:00,12:30:00 am,summer,coffee,pet cat,whiplash,"action, comedy, documentary","boxing, guitar, russian memes",,3,19.0
phd,no,Less than 1 year,1,MacOS,True,"english, mandarin chinese","africa, asia, australia, europe, north america, south america",1997-08-24,1900-01-01 09:00:00,1:30:00 am,spring,no caffeine for me!,pet rock,,"comedy, drama, mystery/thriller, romance","drawing, reading, playing board games",,2,28.0
bachelor's (math),yes,Less than 1 year,3,MacOS,False,"english, romanian, russian","africa, asia, europe, north america",2003-06-18,1900-01-01 09:30:00,2:00:00 am,spring,tea,pet rock,,"sci-fi, fantasy, mystery/thriller","hiking/walking, photography",,3,22.0
master's (ds) [extension school],yes,Less than 1 year,1,MacOS,True,"english, kannada, hindi","asia, north america",,,,,coffee,,,,,,3,
